Sector,Subsector,Branch,Subbranch,Class,Description,Economic units,Workers total,Workers hired by the unit ,Fixed salary workers,No fixed salary workers,Workers not hired by the unit,Payments,Expenses,Incomes,Production,Intermediate expenses,Added value,Fixed capital formation,Variation of stocks,Fixed assets,Depreciation
Sector 23 Construction,Subsector 237,,,,Subsector 237 Construcción de obras de ingeniería civil,15,879,876,867,9,3,54.5,546.8,720.2,720,546.8,173.2,-1.4,-0.5,115,10.5
Sector 23 Construction,Subsector 237,Branch 2371,,,"Branch 2371 Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones",5,149,146,145,1,3,11.5,21.3,35.6,37.5,21.3,16.2,2.1,-0.5,21.1,2.3
Sector 23 Construction,Subsector 237,Branch 2371,Subbranch 2371C,,Subbranchs agrupadas por principio de confidencialidad,5,149,146,145,1,3,11.5,21.3,35.6,37.5,21.3,16.2,2.1,-0.5,21.1,2.3
Sector 23 Construction,Subsector 237,Branch 2371,Subbranch 2371C,Class 2371CC,Classs agrupadas por principio de confidencialidad,5,149,146,145,1,3,11.5,21.3,35.6,37.5,21.3,16.2,2.1,-0.5,21.1,2.3
Sector 23 Construction,Subsector 237,Branch 2372,,,Branch 2372 División de terrenos y construcción de obras de urbanización,6,344,344,337,7,0,19.4,57.9,94.1,95.5,57.9,37.6,0.3,-0.1,58.2,6.8
Sector 23 Construction,Subsector 237,Branch 2372,Subbranch 23721,,Subbranch 23721 División de terrenos y construcción de obras de urbanización,6,344,344,337,7,0,19.4,57.9,94.1,95.5,57.9,37.6,0.3,-0.1,58.2,6.8
Sector 23 Construction,Subsector 237,Branch 2372,Subbranch 23721,Class 237212,Class 237212 Construcción de obras de urbanización,6,344,344,337,7,0,19.4,57.9,94.1,95.5,57.9,37.6,0.3,-0.1,58.2,6.8
Sector 23 Construction,Subsector 237,Branch 237C,,,Ramas agrupadas por principio de confidencialidad,4,386,386,385,1,0,23.6,467.6,590.5,587,467.6,119.4,-3.8,0,35.7,1.4
Sector 23 Construction,Subsector 237,Branch 237C,Subbranch 237CC,,Subbranchs agrupadas por principio de confidencialidad,4,386,386,385,1,0,23.6,467.6,590.5,587,467.6,119.4,-3.8,0,35.7,1.4
Sector 23 Construction,Subsector 237,Branch 237C,Subbranch 237CC,Class 237CCC,Classs agrupadas por principio de confidencialidad,4,386,386,385,1,0,23.6,467.6,590.5,587,467.6,119.4,-3.8,0,35.7,1.4
Sector 23 Construction,Subsector 238,,,,Subsector 238 Trabajos especializados para la construcción,5,176,174,169,5,2,10,38,62.2,62.2,38,24.2,0,0,4.5,0.6
Sector 23 Construction,Subsector 238,Branch 238C,,,Ramas agrupadas por principio de confidencialidad,5,176,174,169,5,2,10,38,62.2,62.2,38,24.2,0,0,4.5,0.6
Sector 23 Construction,Subsector 238,Branch 238C,Subbranch 238CC,,Subbranchs agrupadas por principio de confidencialidad,5,176,174,169,5,2,10,38,62.2,62.2,38,24.2,0,0,4.5,0.6
Sector 23 Construction,Subsector 238,Branch 238C,Subbranch 238CC,Class 238CCC,Classs agrupadas por principio de confidencialidad,5,176,174,169,5,2,10,38,62.2,62.2,38,24.2,0,0,4.5,0.6
Sector 31-33 Manufacturing industries,,,,,Sector 31-33 Manufacturing industries,572,2213,1464,497,967,749,26.8,1780.9,2256.9,2186.4,1736.6,449.8,6.1,-2.9,632.8,56.1
Sector 31-33 Manufacturing industries,Subsector 311,,,,Subsector 311 Industria alimentaria,197,562,559,239,320,3,13.3,56.5,100.6,102.3,56.4,45.9,1.2,0.4,46.9,3.8
Sector 31-33 Manufacturing industries,Subsector 311,Branch 3113,,,"Branch 3113 Elaboración de azúcares, chocolates, dulces y similares",33,71,71,8,63,0,0.7,4.9,8.8,8.9,4.9,3.9,0,0.1,21.6,1.2
Sector 31-33 Manufacturing industries,Subsector 311,Branch 3113,Subbranch 3113C,,Subbranchs agrupadas por principio de confidencialidad,33,71,71,8,63,0,0.7,4.9,8.8,8.9,4.9,3.9,0,0.1,21.6,1.2
Sector 31-33 Manufacturing industries,Subsector 311,Branch 3113,Subbranch 3113C,Class 3113CC,Classs agrupadas por principio de confidencialidad,33,71,71,8,63,0,0.7,4.9,8.8,8.9,4.9,3.9,0,0.1,21.6,1.2
Sector 31-33 Manufacturing industries,Subsector 311,Branch 3115,,,Branch 3115 Elaboración de productos lácteos,12,28,28,10,18,0,0.4,2,3.3,3.4,2,1.4,0.1,0,1.3,0.1
Sector 31-33 Manufacturing industries,Subsector 311,Branch 3115,Subbranch 3115C,,Subbranchs agrupadas por principio de confidencialidad,12,28,28,10,18,0,0.4,2,3.3,3.4,2,1.4,0.1,0,1.3,0.1
Sector 31-33 Manufacturing industries,Subsector 311,Branch 3115,Subbranch 3115C,Class 3115CC,Classs agrupadas por principio de confidencialidad,12,28,28,10,18,0,0.4,2,3.3,3.4,2,1.4,0.1,0,1.3,0.1
Sector 31-33 Manufacturing industries,Subsector 311,Branch 3118,,,Branch 3118 Elaboración de productos de panadería y tortillas,148,432,429,194,235,3,10.9,47.5,83,84.5,47.4,37.1,1.1,0.3,22.3,2.4
Sector 31-33 Manufacturing industries,Subsector 311,Branch 3118,Subbranch 31181,,Subbranch 31181 Elaboración de pan y otros productos de panadería,71,240,240,104,136,0,5.8,15.9,35.3,35.6,15.8,19.8,0.4,0,8.4,0.8
Sector 31-33 Manufacturing industries,Subsector 311,Branch 3118,Subbranch 31181,Class 311812,Class 311812 Panificación tradicional,71,240,240,104,136,0,5.8,15.9,35.3,35.6,15.8,19.8,0.4,0,8.4,0.8
Sector 31-33 Manufacturing industries,Subsector 311,Branch 3118,Subbranch 31183,,Subbranch 31183 Elaboración de tortillas de maíz y molienda de nixtamal,77,192,189,90,99,3,5.1,31.6,47.7,48.9,31.6,17.4,0.7,0.3,13.8,1.6
Sector 31-33 Manufacturing industries,Subsector 311,Branch 3118,Subbranch 31183,Class 311830,Class 311830 Elaboración de tortillas de maíz y molienda de nixtamal,77,192,189,90,99,3,5.1,31.6,47.7,48.9,31.6,17.4,0.7,0.3,13.8,1.6
Sector 31-33 Manufacturing industries,Subsector 311,Branch 311C,,,Ramas agrupadas por principio de confidencialidad,4,31,31,27,4,0,1.4,2.1,5.5,5.5,2.1,3.4,0,0,1.7,0.1
Sector 31-33 Manufacturing industries,Subsector 311,Branch 311C,Subbranch 311CC,,Subbranchs agrupadas por principio de confidencialidad,4,31,31,27,4,0,1.4,2.1,5.5,5.5,2.1,3.4,0,0,1.7,0.1
Sector 31-33 Manufacturing industries,Subsector 311,Branch 311C,Subbranch 311CC,Class 311CCC,Classs agrupadas por principio de confidencialidad,4,31,31,27,4,0,1.4,2.1,5.5,5.5,2.1,3.4,0,0,1.7,0.1
Sector 31-33 Manufacturing industries,Subsector 312,,,,Subsector 312 Industria de las bebidas y del tabaco,12,33,33,12,21,0,0.6,2.6,5.7,6,2.6,3.4,0.1,0,2.2,0.2
Sector 31-33 Manufacturing industries,Subsector 312,Branch 3121,,,Branch 3121 Industria de las bebidas,12,33,33,12,21,0,0.6,2.6,5.7,6,2.6,3.4,0.1,0,2.2,0.2
Sector 31-33 Manufacturing industries,Subsector 312,Branch 3121,Subbranch 3121C,,Subbranchs agrupadas por principio de confidencialidad,12,33,33,12,21,0,0.6,2.6,5.7,6,2.6,3.4,0.1,0,2.2,0.2
Sector 31-33 Manufacturing industries,Subsector 312,Branch 3121,Subbranch 3121C,Class 3121CC,Classs agrupadas por principio de confidencialidad,12,33,33,12,21,0,0.6,2.6,5.7,6,2.6,3.4,0.1,0,2.2,0.2
Sector 31-33 Manufacturing industries,Subsector 315,,,,Subsector 315 Fabricación de prendas de vestir,24,68,67,29,38,1,1.1,2,5,5.5,2,3.5,1.3,0,4.7,0.5
Sector 31-33 Manufacturing industries,Subsector 315,Branch 3152,,,Branch 3152 Confección de prendas de vestir,20,55,54,21,33,1,1,1.8,4.5,5,1.8,3.2,1.3,0,4.6,0.5
Sector 31-33 Manufacturing industries,Subsector 315,Branch 3152,Subbranch 31522,,Subbranch 31522 Confección de prendas de vestir de materiales textiles,20,55,54,21,33,1,1,1.8,4.5,5,1.8,3.2,1.3,0,4.6,0.5
Sector 31-33 Manufacturing industries,Subsector 315,Branch 3152,Subbranch 31522,Class 315225,Class 315225 Confección de prendas de vestir sobre medida,13,23,22,2,20,1,0.1,0.7,1.1,1.4,0.7,0.8,0.3,0,1.7,0.1
Sector 31-33 Manufacturing industries,Subsector 315,Branch 3152,Subbranch 31522,Class 31522C,Classs agrupadas por principio de confidencialidad,7,32,32,19,13,0,0.9,1.1,3.4,3.6,1.1,2.5,0.9,0,2.9,0.3
Sector 31-33 Manufacturing industries,Subsector 315,Branch 315C,,,Ramas agrupadas por principio de confidencialidad,4,13,13,8,5,0,0.2,0.2,0.5,0.5,0.2,0.3,0,0,0.1,0
Sector 31-33 Manufacturing industries,Subsector 315,Branch 315C,Subbranch 315CC,,Subbranchs agrupadas por principio de confidencialidad,4,13,13,8,5,0,0.2,0.2,0.5,0.5,0.2,0.3,0,0,0.1,0
Sector 31-33 Manufacturing industries,Subsector 315,Branch 315C,Subbranch 315CC,Class 315CCC,Classs agrupadas por principio de confidencialidad,4,13,13,8,5,0,0.2,0.2,0.5,0.5,0.2,0.3,0,0,0.1,0
Sector 31-33 Manufacturing industries,Subsector 316,,,,"Subsector 316 Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",3,5,5,0,5,0,0,0.6,1.2,1.2,0.6,0.6,0.1,0,1,0.1
Sector 31-33 Manufacturing industries,Subsector 316,Branch 316C,,,Ramas agrupadas por principio de confidencialidad,3,5,5,0,5,0,0,0.6,1.2,1.2,0.6,0.6,0.1,0,1,0.1
Sector 31-33 Manufacturing industries,Subsector 316,Branch 316C,Subbranch 316CC,,Subbranchs agrupadas por principio de confidencialidad,3,5,5,0,5,0,0,0.6,1.2,1.2,0.6,0.6,0.1,0,1,0.1
Sector 31-33 Manufacturing industries,Subsector 316,Branch 316C,Subbranch 316CC,Class 316CCC,Classs agrupadas por principio de confidencialidad,3,5,5,0,5,0,0,0.6,1.2,1.2,0.6,0.6,0.1,0,1,0.1
Sector 31-33 Manufacturing industries,Subsector 321,,,,Subsector 321 Industria de la madera,37,92,88,20,68,4,1.3,5.4,8.7,8.8,5.4,3.3,0.1,0,4,0.4
Sector 31-33 Manufacturing industries,Subsector 321,Branch 3219,,,Branch 3219 Fabricación de otros productos de madera,37,92,88,20,68,4,1.3,5.4,8.7,8.8,5.4,3.3,0.1,0,4,0.4
Sector 31-33 Manufacturing industries,Subsector 321,Branch 3219,Subbranch 32191,,Subbranch 32191 Fabricación de productos de madera para la construcción,37,92,88,20,68,4,1.3,5.4,8.7,8.8,5.4,3.3,0.1,0,4,0.4
Sector 31-33 Manufacturing industries,Subsector 321,Branch 3219,Subbranch 32191,Class 321910,Class 321910 Fabricación de productos de madera para la construcción,37,92,88,20,68,4,1.3,5.4,8.7,8.8,5.4,3.3,0.1,0,4,0.4
Sector 31-33 Manufacturing industries,Subsector 323,,,,Subsector 323 Impresión e industrias conexas,26,65,64,27,37,1,1.5,3.8,6,6,3.8,2.3,0.1,0.1,7.1,0.9
Sector 31-33 Manufacturing industries,Subsector 323,Branch 3231,,,Branch 3231 Impresión e industrias conexas,26,65,64,27,37,1,1.5,3.8,6,6,3.8,2.3,0.1,0.1,7.1,0.9
Sector 31-33 Manufacturing industries,Subsector 323,Branch 3231,Subbranch 32311,,Subbranch 32311 Impresión,22,57,56,26,30,1,1.4,3.2,5.2,5.2,3.2,2,0,0,6.7,0.8
Sector 31-33 Manufacturing industries,Subsector 323,Branch 3231,Subbranch 32311,Class 323119,Class 323119 Impresión de formas continuas y otros impresos,22,57,56,26,30,1,1.4,3.2,5.2,5.2,3.2,2,0,0,6.7,0.8
Sector 31-33 Manufacturing industries,Subsector 323,Branch 3231,Subbranch 32312,,Subbranch 32312 Industrias conexas a la impresión,4,8,8,1,7,0,0,0.5,0.8,0.8,0.5,0.3,0,0.1,0.4,0.1
Sector 31-33 Manufacturing industries,Subsector 323,Branch 3231,Subbranch 32312,Class 323120,Class 323120 Industrias conexas a la impresión,4,8,8,1,7,0,0,0.5,0.8,0.8,0.5,0.3,0,0.1,0.4,0.1
Sector 31-33 Manufacturing industries,Subsector 327,,,,Subsector 327 Fabricación de productos a base de minerales no metálicos,112,316,311,81,230,5,3.4,12.3,21.3,21.4,11.7,9.8,0.1,0.4,8.1,0.8
Sector 31-33 Manufacturing industries,Subsector 327,Branch 3271,,,Branch 3271 Fabricación de productos a base de arcillas y minerales refractarios,101,281,277,67,210,4,2.6,8.5,16.6,17,8.5,8.5,0.1,0.4,5.9,0.6
Sector 31-33 Manufacturing industries,Subsector 327,Branch 3271,Subbranch 32711,,"Subbranch 32711 Fabricación de artículos de alfarería, porcelana, loza y muebles de baño",50,156,152,64,88,4,2.5,4.5,9.6,9.9,4.5,5.4,0,0.3,4,0.3
Sector 31-33 Manufacturing industries,Subsector 327,Branch 3271,Subbranch 32711,Class 327111,"Class 327111 Fabricación de artículos de alfarería, porcelana y loza",50,156,152,64,88,4,2.5,4.5,9.6,9.9,4.5,5.4,0,0.3,4,0.3
Sector 31-33 Manufacturing industries,Subsector 327,Branch 3271,Subbranch 32712,,Subbranch 32712 Fabricación de productos a base de arcilla para la construcción,51,125,125,3,122,0,0.1,4,7,7.1,4,3.1,0.1,0,1.9,0.3
Sector 31-33 Manufacturing industries,Subsector 327,Branch 3271,Subbranch 32712,Class 327121,Class 327121 Fabricación de ladrillos no refractarios,51,125,125,3,122,0,0.1,4,7,7.1,4,3.1,0.1,0,1.9,0.3
Sector 31-33 Manufacturing industries,Subsector 327,Branch 3279,,,Branch 3279 Fabricación de otros productos a base de minerales no metálicos,6,15,15,2,13,0,0.1,0.5,0.9,0.9,0.5,0.4,0,0,0.5,0.1
Sector 31-33 Manufacturing industries,Subsector 327,Branch 3279,Subbranch 32799,,Subbranch 32799 Fabricación de otros productos a base de minerales no metálicos,6,15,15,2,13,0,0.1,0.5,0.9,0.9,0.5,0.4,0,0,0.5,0.1
Sector 31-33 Manufacturing industries,Subsector 327,Branch 3279,Subbranch 32799,Class 327991,Class 327991 Fabricación de productos a base de piedras de cantera,6,15,15,2,13,0,0.1,0.5,0.9,0.9,0.5,0.4,0,0,0.5,0.1
Sector 31-33 Manufacturing industries,Subsector 327,Branch 327C,,,Ramas agrupadas por principio de confidencialidad,5,20,19,12,7,1,0.7,3.3,3.8,3.5,2.7,0.8,0,0,1.7,0.1
Sector 31-33 Manufacturing industries,Subsector 327,Branch 327C,Subbranch 327CC,,Subbranchs agrupadas por principio de confidencialidad,5,20,19,12,7,1,0.7,3.3,3.8,3.5,2.7,0.8,0,0,1.7,0.1
Sector 31-33 Manufacturing industries,Subsector 327,Branch 327C,Subbranch 327CC,Class 327CCC,Classs agrupadas por principio de confidencialidad,5,20,19,12,7,1,0.7,3.3,3.8,3.5,2.7,0.8,0,0,1.7,0.1
Sector 31-33 Manufacturing industries,Subsector 332,,,,Subsector 332 Fabricación de productos metálicos,97,197,196,56,140,1,3.3,13.4,22.9,23.2,13.4,9.8,0.3,0,10.9,1.1
Sector 31-33 Manufacturing industries,Subsector 332,Branch 3323,,,Branch 3323 Fabricación de estructuras metálicas y productos de herrería,94,189,188,54,134,1,3,12.5,21.7,22,12.5,9.5,0.3,0,9.9,0.9
Sector 31-33 Manufacturing industries,Subsector 332,Branch 3323,Subbranch 33232,,Subbranch 33232 Fabricación de productos de herrería,94,189,188,54,134,1,3,12.5,21.7,22,12.5,9.5,0.3,0,9.9,0.9
Sector 31-33 Manufacturing industries,Subsector 332,Branch 3323,Subbranch 33232,Class 332320,Class 332320 Fabricación de productos de herrería,94,189,188,54,134,1,3,12.5,21.7,22,12.5,9.5,0.3,0,9.9,0.9
Sector 31-33 Manufacturing industries,Subsector 332,Branch 3327,,,Branch 3327 Maquinado de piezas metálicas y fabricación de tornillos,3,8,8,2,6,0,0.3,0.9,1.2,1.2,0.9,0.4,0,0,1,0.1
Sector 31-33 Manufacturing industries,Subsector 332,Branch 3327,Subbranch 33271,,Subbranch 33271 Maquinado de piezas metálicas para maquinaria y equipo en general,3,8,8,2,6,0,0.3,0.9,1.2,1.2,0.9,0.4,0,0,1,0.1
Sector 31-33 Manufacturing industries,Subsector 332,Branch 3327,Subbranch 33271,Class 332710,Class 332710 Maquinado de piezas metálicas para maquinaria y equipo en general,3,8,8,2,6,0,0.3,0.9,1.2,1.2,0.9,0.4,0,0,1,0.1
Sector 31-33 Manufacturing industries,Subsector 335,,,,"Subsector 335 Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",3,450,17,13,4,433,1.3,930,1124.5,1054.6,886.4,168.2,0.5,0,241.5,21.9
Sector 31-33 Manufacturing industries,Subsector 335,Branch 335C,,,Ramas agrupadas por principio de confidencialidad,3,450,17,13,4,433,1.3,930,1124.5,1054.6,886.4,168.2,0.5,0,241.5,21.9
Sector 31-33 Manufacturing industries,Subsector 335,Branch 335C,Subbranch 335CC,,Subbranchs agrupadas por principio de confidencialidad,3,450,17,13,4,433,1.3,930,1124.5,1054.6,886.4,168.2,0.5,0,241.5,21.9
Sector 31-33 Manufacturing industries,Subsector 335,Branch 335C,Subbranch 335CC,Class 335CCC,Classs agrupadas por principio de confidencialidad,3,450,17,13,4,433,1.3,930,1124.5,1054.6,886.4,168.2,0.5,0,241.5,21.9
Sector 31-33 Manufacturing industries,Subsector 337,,,,"Subsector 337 Fabricación de muebles, colchones y persianas",36,75,75,15,60,0,0.6,4.3,7,7.1,4.3,2.8,0.1,0,3.3,0.3
Sector 31-33 Manufacturing industries,Subsector 337,Branch 3371,,,"Branch 3371 Fabricación de muebles, excepto de oficina y estantería",33,70,70,14,56,0,0.6,4.2,6.8,6.8,4.2,2.6,0.1,0,3.2,0.3
Sector 31-33 Manufacturing industries,Subsector 337,Branch 3371,Subbranch 33711,,Subbranch 33711 Fabricación de cocinas integrales y muebles modulares de baño,3,10,10,2,8,0,0,0.5,0.8,0.8,0.5,0.3,0.1,0,0.2,0
Sector 31-33 Manufacturing industries,Subsector 337,Branch 3371,Subbranch 33711,Class 337110,Class 337110 Fabricación de cocinas integrales y muebles modulares de baño,3,10,10,2,8,0,0,0.5,0.8,0.8,0.5,0.3,0.1,0,0.2,0
Sector 31-33 Manufacturing industries,Subsector 337,Branch 3371,Subbranch 33712,,"Subbranch 33712 Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería",30,60,60,12,48,0,0.5,3.7,6,6,3.7,2.3,0,0,3,0.2
Sector 31-33 Manufacturing industries,Subsector 337,Branch 3371,Subbranch 33712,Class 337120,"Class 337120 Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería",30,60,60,12,48,0,0.5,3.7,6,6,3.7,2.3,0,0,3,0.2
Sector 31-33 Manufacturing industries,Subsector 337,Branch 337C,,,Ramas agrupadas por principio de confidencialidad,3,5,5,1,4,0,0,0,0.3,0.3,0,0.2,0,0,0.1,0
Sector 31-33 Manufacturing industries,Subsector 337,Branch 337C,Subbranch 337CC,,Subbranchs agrupadas por principio de confidencialidad,3,5,5,1,4,0,0,0,0.3,0.3,0,0.2,0,0,0.1,0
Sector 31-33 Manufacturing industries,Subsector 337,Branch 337C,Subbranch 337CC,Class 337CCC,Classs agrupadas por principio de confidencialidad,3,5,5,1,4,0,0,0,0.3,0.3,0,0.2,0,0,0.1,0
Sector 31-33 Manufacturing industries,Subsector 339,,,,Subsector 339 Otras industrias manufactureras,20,44,44,5,39,0,0.4,3.2,4.7,4.8,3.2,1.5,0,0.1,0.8,0.1
Sector 31-33 Manufacturing industries,Subsector 339,Branch 3391,,,"Branch 3391 Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",5,10,10,0,10,0,0,0.8,1,1.1,0.8,0.3,0,0,0.2,0
Sector 31-33 Manufacturing industries,Subsector 339,Branch 3391,Subbranch 33911,,"Subbranch 33911 Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",5,10,10,0,10,0,0,0.8,1,1.1,0.8,0.3,0,0,0.2,0
Sector 31-33 Manufacturing industries,Subsector 339,Branch 3391,Subbranch 33911,Class 33911C,Classs agrupadas por principio de confidencialidad,5,10,10,0,10,0,0,0.8,1,1.1,0.8,0.3,0,0,0.2,0
Sector 31-33 Manufacturing industries,Subsector 339,Branch 3399,,,Branch 3399 Otras industrias manufactureras,15,34,34,5,29,0,0.4,2.4,3.6,3.7,2.4,1.3,0,0.1,0.6,0.1
Sector 31-33 Manufacturing industries,Subsector 339,Branch 3399,Subbranch 33999,,Subbranch 33999 Otras industrias manufactureras,7,13,13,0,13,0,0,0.8,1,1,0.8,0.3,0,0,0.2,0
Sector 31-33 Manufacturing industries,Subsector 339,Branch 3399,Subbranch 33999,Class 339999,Class 339999 Otras industrias manufactureras,7,13,13,0,13,0,0,0.8,1,1,0.8,0.3,0,0,0.2,0
Sector 31-33 Manufacturing industries,Subsector 339,Branch 3399,Subbranch 3399C,,Subbranchs agrupadas por principio de confidencialidad,8,21,21,5,16,0,0.4,1.7,2.6,2.7,1.7,1,0,0,0.3,0.1
Sector 31-33 Manufacturing industries,Subsector 339,Branch 3399,Subbranch 3399C,Class 3399CC,Classs agrupadas por principio de confidencialidad,8,21,21,5,16,0,0.4,1.7,2.6,2.7,1.7,1,0,0,0.3,0.1
Sector 31-33 Manufacturing industries,Subsector 31C,,,,Subsectores agrupados por principio de confidencialidad,5,306,5,0,5,301,0,746.8,949.3,945.5,746.8,198.7,2.2,-3.9,302.1,26.2
Sector 31-33 Manufacturing industries,Subsector 31C,Branch 31CC,,,Ramas agrupadas por principio de confidencialidad,5,306,5,0,5,301,0,746.8,949.3,945.5,746.8,198.7,2.2,-3.9,302.1,26.2
Sector 31-33 Manufacturing industries,Subsector 31C,Branch 31CC,Subbranch 31CCC,,Subbranchs agrupadas por principio de confidencialidad,5,306,5,0,5,301,0,746.8,949.3,945.5,746.8,198.7,2.2,-3.9,302.1,26.2
Sector 31-33 Manufacturing industries,Subsector 31C,Branch 31CC,Subbranch 31CCC,Class 31CCCC,Classs agrupadas por principio de confidencialidad,5,306,5,0,5,301,0,746.8,949.3,945.5,746.8,198.7,2.2,-3.9,302.1,26.2
Sector 43 Wholesale trade,,,,,Sector 43 Wholesale trade,80,653,587,490,97,66,57.1,594.7,713.9,184.9,95.6,89.3,1.2,3.1,623.3,153.4
Sector 43 Wholesale trade,Subsector 431,,,,"Subsector 431 Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco",13,373,309,306,3,64,40.4,404,486,150.1,66.9,83.2,0.4,1.3,23.2,1.9
Sector 43 Wholesale trade,Subsector 431,Branch 4311,,,Branch 4311 Comercio al por mayor de abarrotes y alimentos,6,97,48,46,2,49,2.8,221.5,238.5,49.8,31.4,18.5,1.3,1.5,1.8,0.2
